,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
1039,HULTSTROM Linus,HULTSTROM L,Male,1992-12-09,VIMMERBY,Sweden,Sweden,SWE,Ice Hockey,IHO,MAGNITOGORSK,Russian Federation,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1048750-linus-hultstrom.htm
1040,HUMPHRIES Kaillie,HUMPHRIES K,Female,1985-09-04,"CALGARY, AB",Canada,United States of America,USA,Bobsleigh,BOB,"SAN DIEGO, CA",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041480-kaillie-humphries.htm
1041,HUNKO Lidiia,HUNKO L,Female,1993-08-10,IVANO-FRANKIVSK,Ukraine,Ukraine,UKR,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1009567-lidiia-hunko.htm
1042,HUOT MARCHAND Tifany,HUOT MARCHAND T,Female,1994-05-10,BESANCON,France,France,FRA,Short Track Speed Skating,STK,FONT-ROMEU,France,,../../../en/results/short-track-speed-skating/athlete-profile-n1035496-tifany-huot-marchand.htm
1043,HURT A J,HURT AJ,Female,2000-12-05,"TRUCKEE, CA",United States of America,United States of America,USA,Alpine Skiing,ALP,"CARNELIAN BAY, CA",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1041190-a-j-hurt.htm
1044,HUSKOVA Hanna,HUSKOVA H,Female,1992-08-28,MINSK,Belarus,Belarus,BLR,Freestyle Skiing,FRS,MINSK,Belarus,,../../../en/results/freestyle-skiing/athlete-profile-n1000077-hanna-huskova.htm
1045,HWANG Daeheon,HWANG D,Male,1999-07-05,ANYANG,Republic of Korea,Republic of Korea,KOR,Short Track Speed Skating,STK,ANYANG,Republic of Korea,,../../../en/results/short-track-speed-skating/athlete-profile-n1036469-daeheon-hwang.htm
1046,HYKA Tomas,HYKA T,Male,1993-03-23,MLADA BOLESLAV,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,CHELYABINSK,Russian Federation,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1055632-tomas-hyka.htm
1047,HYMLAROVA Klara,HYMLAROVA K,Female,1999-02-27,OPAVA,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,,,1.63/5'4'',../../../en/results/ice-hockey/athlete-profile-n1055700-klara-hymlarova.htm
1048,HYNCICOVA Petra,HYNCICOVA P,Female,1994-05-01,LIBEREC,Czech Republic,Czech Republic,CZE,Cross-Country Skiing,CCS,LIBEREC,Czech Republic,,../../../en/results/cross-country-skiing/athlete-profile-n1040805-petra-hyncicova.htm
